"(PDH-CSV 4.0) (GMT Daylight Time)(-60)","\\mahta\LogicalDisk(_Total)\Disk Write Bytes/sec"
"04/01/2025 23:21:10.005","69533.776587192929583"
"04/01/2025 23:21:11.007","237083.56714724804624"
"04/01/2025 23:21:12.008","28669.700690004661737"
"04/01/2025 23:21:13.008","438999.675219227036"
"04/01/2025 23:21:16.002","102610.11473193658458"
"04/01/2025 23:21:17.003","118623.85779198083037"
"04/01/2025 23:21:18.004","479771.19121128099505"
"04/01/2025 23:21:19.006","28633.267778675784939"
"04/01/2025 23:21:20.007","134946.64701490144944"
"04/01/2025 23:21:22.111","18027296.633539419621"
"04/01/2025 23:21:23.113","1432145.3859804836102"
"04/01/2025 23:21:24.113","106437.12962360517122"
"04/01/2025 23:21:25.114","62675598.814483635128"
"04/01/2025 23:21:26.114","335859.77470420079771"
"04/01/2025 23:21:28.116","780085.94832719862461"
"04/01/2025 23:21:29.117","126826.48425770859467"
"04/01/2025 23:21:30.117","8641102.2460510917008"
"04/01/2025 23:21:31.117","184316.86661326760077"
"04/01/2025 23:21:32.118","155482.73739841923816"
"04/01/2025 23:21:35.003","86970.752999005533638"
"04/01/2025 23:21:36.005","588829.17311202734709"
"04/01/2025 23:21:37.006","151395.13949596820748"
"04/01/2025 23:21:38.006","87027.50285059066664"
"04/01/2025 23:21:39.008","171739.04753271868685"
"04/01/2025 23:21:41.009","15643932.51519796811"
"04/01/2025 23:21:42.009","229359.16503728626412"
"04/01/2025 23:21:43.009","110570.58247817396477"
"04/01/2025 23:21:44.017","24841705.935338824987"
"04/01/2025 23:21:45.017","70159546.894576147199"
"04/01/2025 23:21:48.002","5573002.1523955557495"
"04/01/2025 23:21:49.002","5927051.8784243306145"
"04/01/2025 23:21:50.003","5469720.5108526423573"
"04/01/2025 23:21:51.004","4756613.7407539514825"
"04/01/2025 23:21:52.005","6251815.3793534776196"
"04/01/2025 23:21:54.008","2757490.7348769842647"
"04/01/2025 23:21:55.010","710530.21999799925834"
"04/01/2025 23:21:56.011","550565.99794879660476"
"04/01/2025 23:21:57.013","159538.48252680894802"
