"(PDH-CSV 4.0) (GMT Daylight Time)(-60)","\\mahta\Memory\Available MBytes"
"04/01/2025 23:21:45.070","2414"
"04/01/2025 23:21:46.071","2413"
"04/01/2025 23:21:47.076","2416"
"04/01/2025 23:21:48.077","2412"
"04/01/2025 23:21:49.077","2402"
"04/01/2025 23:21:50.078","2416"
"04/01/2025 23:21:51.079","2403"
"04/01/2025 23:21:52.079","2404"
"04/01/2025 23:21:53.080","2416"
"04/01/2025 23:21:54.080","2403"
"04/01/2025 23:21:55.081","2409"
"04/01/2025 23:21:56.082","4724"
"04/01/2025 23:21:57.082","6671"
"04/01/2025 23:21:58.083","6690"
